के	क े |
में	म े ं |
है	ह ै |
की	क ी |
को	क ो |
से	स े |
हैं	ह ै ं |
और	औ र |
का	क ा |
ने	न े |
पर	प र |
कि	क ि |
भी	भ ी |
एक	ए क |
इस	इ स |
लिए	ल ि ए |
नहीं	न ह ी ं |
कर	क र |
किया	क ि य ा |
था	थ ा |
ही	ह ी |
यह	य ह |
दो	द ो |
सौ	स ौ |
हो	ह ो |
करने	क र न े |
गया	ग य ा |
तो	त ो |
कहा	क ह ा |
तक	त क |
बाद	ब ा द |
परीक्षा	प र ी क ् ष ा |
भारत	भ ा र त |
साथ	स ा थ |
पहले	प ह ल े |
दिया	द ि य ा |
जा	ज ा |
रहे	र ह े |
हजार	ह ज ा र |
साल	स ा ल |
लेकिन	ल े क ि न |
थी	थ ी |
रहा	र ह ा |
अपने	अ प न े |
होने	ह ो न े |
हुए	ह ु ए |
वाले	व ा ल े |
गई	ग ई |
सरकार	स र क ा र |
थे	थ े |
रही	र ह ी |
क्या	क ् य ा |
इसके	इ स क े |
उन्होंने	उ न ् ह ो ं न े |
देश	द े श |
लोगों	ल ो ग ो ं |
गए	ग ए |
तीन	त ी न |
अब	अ ब |
करते	क र त े |
कुछ	क ु छ |
हज़ार	ह ज ़ ा र |
जो	ज ो |
वह	व ह |
कई	क ई |
काम	क ा म |
दी	द ी |
ज्यादा	ज ् य ा द ा |
आप	आ प |
सकते	स क त े |
आवेदन	आ व े द न |
बात	ब ा त |
उन्हें	उ न ् ह े ं |
इन	इ न |
जाता	ज ा त ा |
जब	ज ब |
भर्ती	भ र ् त ी |
अपनी	अ प न ी |
समय	स म य |
जारी	ज ा र ी |
लेकर	ल े क र |
बार	ब ा र |
कोई	क ो ई |
चार	च ा र |
हुई	ह ु ई |
सकता	स क त ा |
दिसंबर	द ि स ं ब र |
किए	क ि ए |
या	य ा |
हुआ	ह ु आ |
किसी	क ि स ी |
बजट	ब ज ट |
आई	आ ई |
उनके	उ न क े |
सबसे	स ब स े |
तरह	त र ह |
सभी	स भ ी |
भारतीय	भ ा र त ी य |
पास	प ा स |
नाम	न ा म |
पांच	प ा ं च |
न	न |
रुपए	र ु प ए |
आठ	आ ठ |
होगा	ह ो ग ा |
फिल्म	फ ि ल ् म |
लोग	ल ो ग |
वे	व े |
हालांकि	ह ा ल ा ं क ि |
जाने	ज ा न े |
नोटबंदी	न ो ट ब ं द ी |
रन	र न |
लाख	ल ा ख |
करना	क र न ा |
मोदी	म ो द ी |
वो	व ो |
व	व |
पद	प द |
जाएगा	ज ा ए ग ा |
उन्नीस	उ न ् न ी स |
पदों	प द ो ं |
होती	ह ो त ी |
कम	क म |
वाली	व ा ल ी |
टेस्ट	ट े स ् ट |
अगर	अ ग र |
वहीं	व ह ी ं |
राज्य	र ा ज ् य |
एस	ए स |
दिन	द ि न |
इससे	इ स स े |
उम्मीदवारों	उ म ् म ी द व ा र ो ं |
लिया	ल ि य ा |
बताया	ब त ा य ा |
बीच	ब ी च |
रूप	र ू प |
आज	आ ज |
बी	ब ी |
सोलह	स ो ल ह |
सी	स ी |
दस	द स |
कारण	क ा र ण |
पी	प ी |
ऐसा	ऐ स ा |
कौन	क ौ न |
उस	उ स |
उसे	उ स े |
हर	ह र |
शुरू	श ु र ू |
यहां	य ह ा ं |
रुपये	र ु प य े |
चाहिए	च ा ह ि ए |
ऐसे	ऐ स े |
उसके	उ स क े |
संख्या	स ं ख ् य ा |
खिलाफ	ख ि ल ा फ |
मुताबिक	म ु त ा ब ि क |
भाग	भ ा ग |
देने	द े न े |
होता	ह ो त ा |
काफी	क ा फ ी |
दिए	द ि ए |
अपना	अ प न ा |
सात	स ा त |
बनाने	ब न ा न े |
अलग	अ ल ग |
नौ	न ौ |
अनुसार	अ न ु स ा र |
इसी	इ स ी |
आ	आ |
उनकी	उ न क ी |
उम्मीदवार	उ म ् म ी द व ा र |
पिछले	प ि छ ल े |
इसे	इ स े |
आयोजन	आ य ो ज न |
बड़ी	ब ड ़ ी |
ये	य े |
कंपनी	क ं प न ी |
ले	ल े |
शामिल	श ा म ि ल |
सिंह	स ि ं ह |
आधार	आ ध ा र |
मैच	म ै च |
पुलिस	प ु ल ि स |
प्रतिशत	प ् र त ि श त |
वहां	व ह ा ं |
जिसमें	ज ि स म े ं |
द्वारा	द ् व ा र ा |
खान	ख ा न |
दूसरे	द ू स र े |
महीने	म ह ी न े |
तहत	त ह त |
बैंक	ब ै ं क |
टीम	ट ी म |
बारे	ब ा र े |
दौरान	द ौ र ा न |
प्रधानमंत्री	प ् र ध ा न म ं त ् र ी |
दोनों	द ो न ो ं |
क्योंकि	क ् य ो ं क ि |
बहुत	ब ह ु त |
टी	ट ी |
कार्ड	क ा र ् ड |
किस	क ि स |
ओर	ओ र |
वित्त	व ि त ् त |
वजह	व ज ह |
इसमें	इ स म े ं |
फिर	फ ि र |
पहली	प ह ल ी |
इसलिए	इ स ल ि ए |
लेने	ल े न े |
जबकि	ज ब क ि |
दिल्ली	द ि ल ् ल ी |
होगी	ह ो ग ी |
जमा	ज म ा |
करोड़	क र ो ड ़ |
जानकारी	ज ा न क ा र ी |
आयोग	आ य ो ग |
जाते	ज ा त े |
बना	ब न ा |
जाती	ज ा त ी |
सत्रह	स त ् र ह |
मामले	म ा म ल े |
घोषित	घ ो ष ि त |
प्रदेश	प ् र द े श |
बता	ब त ा |
आने	आ न े |
विकास	व ि क ा स |
पचास	प च ा स |
सामने	स ा म न े |
वर्ष	व र ् ष |
अलावा	अ ल ा व ा |
छह	छ ह |
नवंबर	न व ं ब र |
करीब	क र ी ब |
सकती	स क त ी |
बोर्ड	ब ो र ् ड |
फोन	फ ो न |
तथा	त थ ा |
पाकिस्तान	प ा क ि स ् त ा न |
जैसे	ज ै स े |
मंत्री	म ं त ् र ी |
अधिक	अ ध ि क |
सुरक्षा	स ु र क ् ष ा |
नए	न ए |
पंद्रह	प ं द ् र ह |
योजना	य ो ज न ा |
रिपोर्ट	र ि प ो र ् ट |
इस्तेमाल	इ स ् त े म ा ल |
दें	द े ं |
कब	क ब |
इंग्लैंड	इ ं ग ् ल ै ं ड |
घर	घ र |
होते	ह ो त े |
करें	क र े ं |
जाएगी	ज ा ए ग ी |
नतीजे	न त ी ज े |
ए	ए |
राहुल	र ा ह ु ल |
पेश	प े श |
इंडिया	इ ं ड ि य ा |
पार्टी	प ा र ् ट ी |
केंद्र	क े ं द ् र |
दे	द े |
फैसला	फ ै स ल ा |
अभी	अ भ ी |
मंत्रालय	म ं त ् र ा ल य |
तैयार	त ै य ा र |
हम	ह म |
क्षेत्र	क ् ष े त ् र |
पानी	प ा न ी |
क्रिकेट	क ् र ि क े ट |
अन्य	अ न ् य |
नौकरी	न ौ क र ी |
सिर्फ	स ि र ् फ |
वेबसाइट	व े ब स ा इ ट |
जनवरी	ज न व र ी |
होना	ह ो न ा |
इसका	इ स क ा |
इसकी	इ स क ी |
मैं	म ै ं |
उनका	उ न क ा |
ऐसी	ऐ स ी |
कांग्रेस	क ा ं ग ् र े स |
तय	त य |
हाल	ह ा ल |
एम	ए म |
आपको	आ प क ो |
विकेट	व ि क े ट |
कहना	क ह न ा |
दूसरी	द ू स र ी |
चुनाव	च ु न ा व |
कितने	क ि त न े |
ऑफर	ऑ फ र |
नजर	न ज र |
आर्थिक	आ र ् थ ि क |
तब	त ब |
बड़े	ब ड ़ े |
आगे	आ ग े |
सवाल	स व ा ल |
नई	न ई |
विश्व	व ि श ् व |
जगह	ज ग ह |
लागू	ल ा ग ू |
जाए	ज ा ए |
देशों	द े श ो ं |
सरकारी	स र क ा र ी |
आर	आ र |
तरफ	त र फ |
जहां	ज ह ा ं |
शतक	श त क |
स्तर	स ् त र |
पूरी	प ू र ी |
चीन	च ी न |
रेलवे	र े ल व े |
तीस	त ी स |
प्रति	प ् र त ि |
दुनिया	द ु न ि य ा |
जियो	ज ि य ो |
आधिकारिक	आ ध ि क ा र ि क |
गौरतलब	ग ौ र त ल ब |
स्थिति	स ् थ ि त ि |
बीस	ब ी स |
खुद	ख ु द |
आया	आ य ा |
करता	क र त ा |
रिजल्ट	र ि ज ल ् ट |
बाहर	ब ा ह र |
राजनीतिक	र ा ज न ी त ि क |
हासिल	ह ा स ि ल |
बल्कि	ब ल ् क ि |
बड़ा	ब ड ़ ा |
कदम	क द म |
जिसके	ज ि स क े |
प्रक्रिया	प ् र क ् र ि य ा |
पूरा	प ू र ा |
आदि	आ द ि |
बनाया	ब न ा य ा |
जिससे	ज ि स स े |
डी	ड ी |
कोर्ट	क ो र ् ट |
दर्ज	द र ् ज |
केवल	क े व ल |
पारी	प ा र ी |
बैंकों	ब ै ं क ो ं |
ई	ई |
हमारे	ह म ा र े |
चीफ	च ी फ |
पंजाब	प ं ज ा ब |
जी	ज ी |
सीमा	स ी म ा |
बनाए	ब न ा ए |
देख	द े ख |
उन	उ न |
जरूरत	ज र ू र त |
गांधी	ग ा ं ध ी |
महिला	म ह ि ल ा |
केंद्रीय	क े ं द ् र ी य |
दिनों	द ि न ो ं |
ऑफ	ऑ फ |
संसद	स ं स द |
दशमलव	द श म ल व |
कोशिश	क ो श ि श |
उसका	उ स क ा |
फीसद	फ ी स द |
जुड़े	ज ु ड ़ े |
लिये	ल ि य े |
कोहली	क ो ह ल ी |
करती	क र त ी |
आए	आ ए |
आम	आ म |
नोट	न ो ट |
गेंद	ग े ं द |
वीडियो	व ी ड ि य ो |
चुके	च ु क े |
कुल	क ु ल |
खिलाड़ी	ख ि ल ा ड ़ ी |
डेटा	ड े ट ा |
उसकी	उ स क ी |
स्वास्थ्य	स ् व ा स ् थ ् य |
कमी	क म ी |
व्यवस्था	व ् य व स ् थ ा |
उसने	उ स न े |
खेल	ख े ल |
पाँच	प ा ँ च |
रहने	र ह न े |
कभी	क भ ी |
जरिए	ज र ि ए |
मूवी	म ू व ी |
चर्चा	च र ् च ा |
मांगे	म ा ं ग े |
ध्यान	ध ् य ा न |
अगले	अ ग ल े |
बिना	ब ि न ा |
पिता	प ि त ा |
मौत	म ौ त |
देते	द े त े |
लगा	ल ग ा |
जाएंगे	ज ा ए ं ग े |
कानून	क ा न ू न |
जिस	ज ि स |
मार्च	म ा र ् च |
अच्छा	अ च ् छ ा |
मांग	म ा ं ग |
कितनी	क ि त न ी |
जांच	ज ा ं च |
लगाया	ल ग ा य ा |
इतना	इ त न ा |
इंतजार	इ ं त ज ा र |
अठारह	अ ठ ा र ह |
पहला	प ह ल ा |
वाला	व ा ल ा |
तारीख	त ा र ी ख |
बढ़	ब ढ ़ |
बन	ब न |
लगभग	ल ग भ ग |
राज्यों	र ा ज ् य ो ं |
तौर	त ौ र |
आखिरी	आ ख ि र ी |
नरेंद्र	न र े ं द ् र |
दर	द र |
ओ	ओ |
शाहरुख	श ा ह र ु ख |
लगता	ल ग त ा |
खत्म	ख त ् म |
देखा	द े ख ा |
मिली	म ि ल ी |
जनता	ज न त ा |
क्यों	क ् य ो ं |
पूरे	प ू र े |
आरोप	आ र ो प |
जाना	ज ा न ा |
जरूरी	ज र ू र ी |
तेरह	त े र ह |
जल	ज ल |
भर	भ र |
विभाग	व ि भ ा ग |
मिल	म ि ल |
धन	ध न |
रखा	र ख ा |
बंद	ब ं द |
कहाँ	क ह ा ँ |
थीं	थ ी ं |
आपके	आ प क े |
चुकी	च ु क ी |
हरियाणा	ह र ि य ा ण ा |
अहम	अ ह म |
नुकसान	न ु क स ा न |
प्रकार	प ् र क ा र |
पता	प त ा |
सही	स ह ी |
माना	म ा न ा |
जीत	ज ी त |
स्वामी	स ् व ा म ी |
रिलीज	र ि ल ी ज |
कैसे	क ै स े |
लगातार	ल ग ा त ा र |
पड़ा	प ड ़ ा |
वक्त	व क ् त |
रहते	र ह त े |
मदद	म द द |
रखने	र ख न े |
घंटे	घ ं ट े |
टैक्स	ट ै क ् स |
सलमान	स ल म ा न |
ऊर्जा	ऊ र ् ज ा |
बीमा	ब ी म ा |
नंबर	न ं ब र |
उपलब्ध	उ प ल ब ् ध |
वैश्विक	व ै श ् व ि क |
सत्रा	स त ् र ा |
जल्द	ज ल ् द |
दोहजार	द ो ह ज ा र |
ना	न ा |
दूर	द ू र |
राष्ट्रीय	र ा ष ् ट ् र ी य |
हिस्सा	ह ि स ् स ा |
परिवार	प र ि व ा र |
शो	श ो |
किसानों	क ि स ा न ो ं |
नोटों	न ो ट ो ं |
करके	क र क े |
पच्चीस	प च ् च ी स |
ब्याज	ब ् य ा ज |
पुराने	प ु र ा न े |
वर्तमान	व र ् त म ा न |
लोकसभा	ल ो क स भ ा |
हूं	ह ू ं |
सदस्य	स द स ् य |
चौदह	च ौ द ह |
अप्रैल	अ प ् र ै ल |
शुरुआत	श ु र ु आ त |
मुख्य	म ु ख ् य |
शिक्षा	श ि क ् ष ा |
कुमार	क ु म ा र |
उनसे	उ न स े |
भारी	भ ा र ी |
वर्ग	व र ् ग |
फरवरी	फ र व र ी |
अक्टूबर	अ क ् ट ू ब र |
कराने	क र ा न े |
संगठन	स ं ग ठ न |
सत्र	स त ् र |
स्केल	स ् क े ल |
कहते	क ह त े |
संयुक्त	स ं य ु क ् त |
शनिवार	श न ि व ा र |
यही	य ह ी |
पूर्व	प ू र ् व |
मैचों	म ै च ो ं |
योग्य	य ो ग ् य |
सोलाह	स ो ल ा ह |
बारह	ब ा र ह |
एन	ए न |
अधिकारी	अ ध ि क ा र ी |
बच्चों	ब च ् च ो ं |
फसल	फ स ल |
दक्षिण	द क ् ष ि ण |
फैसले	फ ै स ल े |
स्त्री	स ् त ् र ी |
बने	ब न े |
कल	क ल |
प्रमुख	प ् र म ु ख |
मीडिया	म ी ड ि य ा |
चलते	च ल त े |
असम	अ स म |
एफ	ए फ |
पीछे	प ी छ े |
लिखा	ल ि ख ा |
ग्राहकों	ग ् र ा ह क ो ं |
कहीं	क ह ी ं |
मिलने	म ि ल न े |
होंगे	ह ो ं ग े |
सामना	स ा म न ा |
बयान	ब य ा न |
क्षेत्रों	क ् ष े त ् र ो ं |
ऋतिक	ऋ त ि क |
हमले	ह म ल े |
सके	स क े |
जूनियर	ज ू न ि य र |
घोषणा	घ ो ष ण ा |
मुझे	म ु झ े |
विवाद	व ि व ा द |
कंपनियों	क ं प न ि य ो ं |
तैयारी	त ै य ा र ी |
उत्तर	उ त ् त र |
राजस्थान	र ा ज स ् थ ा न |
बच्चे	ब च ् च े |
जैसी	ज ै स ी |
कप्तान	क प ् त ा न |
यानी	य ा न ी |
विराट	व ि र ा ट |
बनने	ब न न े |
छूट	छ ू ट |
आयोजित	आ य ो ज ि त |
नया	न य ा |
रेल	र े ल |
जवाब	ज व ा ब |
मुख्यमंत्री	म ु ख ् य म ं त ् र ी |
अंतिम	अ ं त ि म |
इंटरव्यू	इ ं ट र व ् य ू |
सोमवार	स ो म व ा र |
पे	प े |
भाजपा	भ ा ज प ा |
राय	र ा य |
महिलाओं	म ह ि ल ा ओ ं |
कीमत	क ी म त |
दल	द ल |
आमिर	आ म ि र |
पैक	प ै क |
चयन	च य न |
ग्यारह	ग ् य ा र ह |
मिनट	म ि न ट |
राष्ट्र	र ा ष ् ट ् र |
सुधार	स ु ध ा र |
वापस	व ा प स |
विरोध	व ि र ो ध |
खातों	ख ा त ो ं |
मेंस	म े ं स |
दूसरा	द ू स र ा |
रैली	र ै ल ी |
भाषा	भ ा ष ा |
लाभ	ल ा भ |
आयु	आ य ु |
आते	आ त े |
पक्ष	प क ् ष |
बांग्लादेश	ब ा ं ग ् ल ा द े श |
ब्रिक्स	ब ् र ि क ् स |
मे	म े |
आंसर	आ ं स र |
प्रदर्शन	प ् र द र ् श न |
नियुक्ति	न ि य ु क ् त ि |
बावजूद	ब ा व ज ू द |
मौजूद	म ौ ज ू द |
नीति	न ी त ि |
मोबाइल	म ो ब ा इ ल |
गंभीर	ग ं भ ी र |
खबर	ख ब र |
बल्लेबाज	ब ल ् ल े ब ा ज |
ट्रेलर	ट ् र े ल र |
मिलेगा	म ि ल े ग ा |
जुड़ी	ज ु ड ़ ी |
उससे	उ स स े |
तेजी	त े ज ी |
रकम	र क म |
चुका	च ु क ा |
ऑनलाइन	ऑ न ल ा इ न |
देखने	द े ख न े |
प्रदूषण	प ् र द ू ष ण |
लगे	ल ग े |
सालों	स ा ल ो ं |
शानदार	श ा न द ा र |
जस्टिस	ज स ् ट ि स |
महाराष्ट्र	म ह ा र ा ष ् ट ् र |
दरअसल	द र अ स ल |
मौका	म ौ क ा |
चुनावों	च ु न ा व ो ं |
यदि	य द ि |
एवं	ए व ं |
सचिव	स च ि व |
बजे	ब ज े |
जिसे	ज ि स े |
पैसे	प ै स े |
चल	च ल |
सीरीज	स ी र ी ज |
जिनमें	ज ि न म े ं |
स्वीकार	स ् व ी क ा र |
वकील	व क ी ल |
